age,race,ethnicity,sex
all,all,all,all
0-9,all,all,all
0-10,all,all,all
0-19,all,all,all
10-19,all,all,all
11-20,all,all,all
20-29,all,all,all
21-30,all,all,all
30-39,all,all,all
31-40,all,all,all
40-49,all,all,all
41-50,all,all,all
50-59,all,all,all
51-60,all,all,all
60-69,all,all,all
61-70,all,all,all
70-79,all,all,all
71-80,all,all,all
80-89,all,all,all
80_plus,all,all,all
81_plus,all,all,all
90_plus,all,all,all
all,ai_an,all,all
all,asian,all,all
all,black,all,all
all,white,all,all
all,pacific_islander,all,all
all,multiple_other,all,all
all,unknown,all,all
all,all,hispanic,all
all,all,non-hispanic,all
all,white,non-hispanic,all
all,all,unknown,all
all,all,all,male
all,all,all,female
all,all,all,other
all,latinx,all,all
all,all,unknown,all
all,other,all,all
