rank,city,state,community_wide_initiatives,building,transportation,energy_and_water,local_government,total,score_delta_2020,rank_delta_2020,location
1,san_francisco,CA,7,21,25,13.5,7.5,74,1.5,3,ca_san_francisco
2,seattle,WA,12,23,19.5,11,6.5,72,-1,0,wa_seattle
3,washington,DC,9.5,19,24,13.5,5.5,71.5,-0.5,3,dc_washington
4,minneapolis,MN,8.5,22,19.5,13.5,6.5,70,-2.5,0,mn_minneapolis
5,boston,MA,5.5,19,22.5,15,7.5,69.5,-3.5,-3,ma_boston
5,new_york,NY,6,24,22,12.5,5,69.5,-8,-4,ny_new_york
7,denver,CO,9.5,26.5,16,13,4,69,3,0,co_denver
8,los_angeles,CA,9,19.5,18.5,13.5,6.5,67,1.5,0,ca_los_angeles
9,san_jose,CA,10,19.5,17.5,14,2.5,63.5,-1.5,0,ca_san_jose
10,oakland,CA,6.5,15.5,20.5,13.5,6.5,62.5,-1,0,ca_oakland
11,portland,OR,7.5,13.5,19.5,11.5,7.5,59.5,-3.5,0,or_portland
12,chicago,IL,5.5,20,16,13.5,2.5,57.5,0.5,1,il_chicago
13,philadelphia,PA,8,16,17,9,5,55,3.5,2,pa_philadelphia
14,austin,TX,8.5,19,12.5,8.5,6,54.5,-5,-2,tx_austin
15,atlanta,GA,4.5,13.5,18,8,4,48,-6.5,-1,ga_atlanta
16,san_diego,CA,5,12.5,13,12.5,4.5,47.5,-2,2,ca_san_diego
17,chula_vista,CA,4,18.5,7.5,12.5,4.5,47,1.5,5,ca_chula_vista
18,hartford,CT,4.5,12,12.5,12,5,46,2,5,ct_hartford
18,sacramento,CA,4,12,15,10.5,4.5,46,-4,-1,ca_sacramento
20,saint_paul,MN,5.5,10.5,13,13,3.5,45.5,-5.5,-4,mn_saint_paul
21,pittsburgh,PA,7.5,10.5,16,7,4,45,-4,-2,pa_pittsburgh
22,orlando,FL,7,12,11.5,6,7.5,44,-3.5,-1,fl_orlando
22,phoenix,AZ,7,10.5,13,9,4.5,44,-5,-3,az_phoenix
24,honolulu,HI,4.5,9.5,14.5,9,4,41.5,12.5,17,hi_honolulu
24,baltimore,MD,5.5,8.5,15,9.5,3,41.5,5.5,8,md_baltimore
26,providence,RI,4,4.5,13,13,6.5,41,-3,-3,ri_providence
27,long_beach,CA,2.5,14,13,7,4,40.5,-2.5,-1,ca_long_beach
28,columbus,OH,5,10.5,11.5,10.5,2.5,40,-1,1,oh_columbus
28,st_louis,MO,4.5,19,8,6.5,2,40,-2,0,mo_st_louis
30,aurora,CO,3,17.5,6.5,11.5,0,38.5,11,13,co_aurora
31,albuquerque,NM,2.5,8.5,12.5,9.5,5,38,7.5,10,nm_albuquerque
31,las_vegas,NV,5.5,10.5,11,5,6,38,7,5,nv_las_vegas
31,grand_rapids,MI,2,9,10.5,12.5,4,38,3,2,mi_grand_rapids
34,houston,TX,5,8.5,11,7.5,4.5,36.5,2,0,tx_houston
34,salt_lake_city,UT,4,7.5,11.5,9.5,4,36.5,-6,-7,ut_salt_lake_city
36,kansas_city,MO,3.5,9,12.5,6.5,4.5,36,-7.5,-11,mo_kansas_city
37,san_antonio,TX,6,10.5,8,5.5,5.5,35.5,-2,-6,tx_san_antonio
38,cleveland,OH,4,6,11.5,8.5,4,34,-7,-9,oh_cleveland
39,madison,WI,1,7,11.5,9,5,33.5,11,25,wi_madison
40,riverside,CA,3,11,7,9.5,2.5,33,-1.5,-6,ca_riverside
41,boise,ID,3,8.5,7.5,7.5,4.5,31,3,1,id_boise
42,charlotte,NC,3.5,6,10,7,3.5,30,8,23,nc_charlotte
43,knoxville,TN,4.5,5.5,8,7,4,29,3.5,8,tn_knoxville
43,dallas,TX,3.5,9,8.5,4,4,29,2,5,tx_dallas
43,cincinnati,OH,4,9,7,6,3,29,-2,-7,oh_cincinnati
46,nashville,TN,2.5,7.5,8.5,6,4,28.5,4.5,12,tn_nashville
47,fresno,CA,0,12,4,9.5,1.5,27,3.5,13,ca_fresno
47,richmond,VA,4.5,6.5,11,3.5,1.5,27,-0.5,-4,va_richmond
49,miami,FL,4.5,7,10.5,3,1,26,0.5,2,fl_miami
49,springfield,MA,2.5,8,6,9.5,0,26,-1.5,-6,ma_springfield
51,st_petersburg,FL,4.5,6.5,7,3,4.5,25.5,0,0,fl_st_petersburg
51,rochester,NY,0,9,8,6.5,2,25.5,-2,-8,ny_rochester
53,buffalo,NY,1,6.5,7.5,8,2,25,-2.5,-10,ny_buffalo
53,milwaukee,WI,4,6,7.5,7,0.5,25,-6,-17,wi_milwaukee
