,city,state,msa_population,msa_classification,10yr_avg_annual_population_change,growth_classification,location
3,cape_coral,FL,770577,Midsize,0.026099999999999998,Rapid,fl_cape_coral
4,charleston,SC,802122,Midsize,0.019799999999999998,Rapid,sc_charleston
5,omaha,NE,949442,Midsize,0.0176,Rapid,ne_omaha
6,lakeland,FL,724777,Midsize,0.0158,Rapid,fl_lakeland
7,colorado_springs,CO,745791,Midsize,0.0155,Rapid,co_colorado_springs
8,reno,NV,475642,Midsize,0.014199999999999999,Rapid,nv_reno
9,madison,WI,664865,Midsize,0.012,Rapid,wi_madison
10,boise,ID,749202,Midsize,0.012,Rapid,id_boise
11,bakersfield,CA,900202,Midsize,0.011200000000000002,Modest,ca_bakersfield
12,mcallen,TX,868707,Midsize,0.011000000000000001,Modest,tx_mcallen
13,greensboro,NC,771851,Midsize,0.010700000000000001,Modest,nc_greensboro
14,winston_salem,NC,676008,Midsize,0.0086,Modest,nc_winston_salem
15,fresno,CA,999101,Midsize,0.008,Modest,ca_fresno
16,stockton,CA,762148,Midsize,0.0078000000000000005,Modest,ca_stockton
17,oxnard,CA,846006,Midsize,0.006,Modest,ca_oxnard
18,des_moines,IA,699292,Midsize,0.0058,Modest,ia_des_moines
19,el_paso,TX,844124,Midsize,0.0055000000000000005,Modest,tx_el_paso
20,knoxville,TN,869046,Midsize,0.0053,Modest,tn_knoxville
21,provo,UT,648252,Midsize,0.0040999999999999995,Modest,ut_provo
22,allentown,PA,844052,Midsize,0.0032,Modest,pa_allentown
23,albuquerque,NM,918018,Midsize,0.003,Modest,nm_albuquerque
24,tulsa,OK,998626,Midsize,0.0028000000000000004,Modest,ok_tulsa
25,worcester,MA,947404,Midsize,0.0027,Modest,ma_worcester
26,honolulu,HI,974563,Midsize,0.0026,Stable,hi_honolulu
27,wichita,KS,640218,Midsize,0.0022,Stable,ks_wichita
28,little_rock,AR,742384,Midsize,0.0022,Stable,ar_little_rock
29,columbia,SC,838433,Midsize,0.0018,Stable,sc_columbia
30,augusta,GA,608980,Midsize,0.0009,Stable,ga_augusta
31,new_haven,CT,854757,Midsize,0.0004,Stable,ct_new_haven
32,springfield,MA,697382,Midsize,0.0004,Stable,ma_springfield
33,bridgeport,CT,943332,Midsize,0.0001,Stable,ct_bridgeport
34,akron,OH,703479,Midsize,_0.0008,Stable,oh_akron
35,dayton,OH,807611,Midsize,_0.0009,Stable,oh_dayton
36,syracuse,NY,648593,Midsize,_0.0022,Stable,ny_syracuse
37,baton_rouge,LA,854884,Midsize,_0.0045000000000000005,Stable,la_baton_rouge
38,toledo,OH,641816,Midsize,_0.005699999999999999,Stable,oh_toledo
39,henderson,NV,2266715,Large,0.024399999999999998,Rapid,nv_henderson
40,austin,TX,2227083,Large,0.0242,Rapid,tx_austin
41,fort_worth,TX,2491194,Large,0.0235,Rapid,tx_fort_worth
2,charlotte,NC,2636883,Large,0.0215,Rapid,nc_charlotte
3,atlanta,GA,6020364,Large,0.021099999999999997,Rapid,ga_atlanta
4,orlando,FL,2608147,Large,0.021099999999999997,Rapid,fl_orlando
5,tampa,FL,3194831,Large,0.0196,Rapid,fl_tampa
6,mesa,AZ,4948203,Large,0.018600000000000002,Rapid,az_mesa
7,raleigh,NC,1390785,Large,0.0181,Rapid,nc_raleigh
8,miami,FL,2716940,Large,0.0178,Rapid,fl_miami
9,aurora,CO,2967239,Large,0.0173,Rapid,co_aurora
10,san_antonio,TX,2550960,Large,0.0172,Rapid,tx_san_antonio
11,phoenix,AZ,4948203,Large,0.0169,Rapid,az_phoenix
12,columbus,OH,2122271,Large,0.015300000000000001,Rapid,oh_columbus
13,new_orleans,LA,1270530,Large,0.0143,Rapid,la_new_orleans
14,oklahoma_city,OK,1408950,Large,0.013600000000000001,Rapid,ok_oklahoma_city
15,richmond,VA,1291900,Large,0.013500000000000002,Rapid,va_richmond
16,chula_vista,CA,3338330,Large,0.0132,Rapid,ca_chula_vista
17,dallas,TX,5081942,Large,0.0129,Rapid,tx_dallas
18,portland,OR,2492412,Large,0.0126,Rapid,or_portland
19,las_vegas,NV,2266715,Large,0.012199999999999999,Rapid,nv_las_vegas
20,nashville,TN,1934317,Large,0.011899999999999999,Rapid,tn_nashville
21,jacksonville,FL,1559514,Large,0.0116,Modest,fl_jacksonville
22,houston,TX,7066141,Large,0.0111,Modest,tx_houston
23,sacramento,CA,2363730,Large,0.0108,Modest,ca_sacramento
24,riverside,CA,4650631,Large,0.0097,Modest,ca_riverside
25,san_diego,CA,3338330,Large,0.0095,Modest,ca_san_diego
26,st_petersburg,FL,3194831,Large,0.009000000000000001,Modest,fl_st_petersburg
27,saint_paul,MN,3640043,Large,0.0087,Modest,mn_saint_paul
28,kansas_city,MO,2157990,Large,0.0083,Modest,mo_kansas_city
29,salt_lake_city,UT,1232969,Large,0.008199999999999999,Modest,ut_salt_lake_city
30,grand_rapids,MI,1077370,Large,0.0074,Modest,mi_grand_rapids
31,indianapolis,IN,2074537,Large,0.0066,Modest,in_indianapolis
32,tucson,AZ,1047279,Large,0.0059,Modest,az_tucson
33,philadelphia,PA,2150811,Large,0.0042,Modest,pa_philadelphia
34,louisville,KY,1265108,Large,0.0037,Modest,ky_louisville
35,virginia_beach,VA,1768901,Large,0.003,Modest,va_virginia_beach
36,cincinnati,OH,2221208,Large,0.0026,Stable,oh_cincinnati
37,newark,NJ,2167829,Large,0.002,Stable,nj_newark
38,providence,RI,1624578,Large,0.0011,Stable,ri_providence
39,memphis,TN,1346045,Large,0.0007000000000000001,Stable,tn_memphis
40,long_beach,CA,10039107,Large,0.0001,Stable,ca_long_beach
41,chicago,IL,7122725,Large,_0.0001,Stable,il_chicago
42,milwaukee,WI,1575179,Large,_0.0009,Stable,wi_milwaukee
43,birmingham,AL,1090435,Large,_0.0011,Stable,al_birmingham
44,pittsburgh,PA,2317600,Large,_0.002,Stable,pa_pittsburgh
2,hartford,CT,1204877,Large,_0.0024,Stable,ct_hartford
3,buffalo,NY,1127983,Large,_0.0026,Stable,ny_buffalo
4,rochester,NY,1069644,Large,_0.0026,Stable,ny_rochester
5,cleveland,OH,2048449,Large,_0.0045000000000000005,Stable,oh_cleveland
6,baltimore,MD,2800053,Large,_0.005,Stable,md_baltimore
7,st_louis,MO,2803228,Large,_0.0067,Stable,mo_st_louis
8,detroit,MI,1749343,Large,_0.006999999999999999,Stable,mi_detroit
9,san_juan,PR,2023227,Large,_0.0227,Stable,pr_san_juan
