city,energy_reduction_goal_stringency_2_pts,initial_renewable_energy_supply_0.5_pts,renewable_energy_goal_stringency_1.5_pts,climate_goal_stringency_2_pts,climate_goal_progress_2_pts,total_community_wide_climate_mitigation_and_energy_goals_scores,state,location,equity_driven_engagement_0.5_pts,equity_driven_decision_making_1_pt,equity_accountability_measures_1_pt,total_equity_driven_climate_action,district_energy_integration_0.5_pts,district_energy_equity_related_0.5_pts,microgrid_integration_0.5_pts,microgrid_equity_related_0.5_pts,community_solar_support_0.5_pts,solar_equity_related_0.5_pts,total_clean_distributed_energy_resources,heat_island_mitigation_goal_0.5_pts,heat_island_mitigation_policies_and_programs_1_pt,total_heat_island_mitigation_goals
seattle,1,0.5,1.5,2,2,7,WA,wa_seattle,0.5,1,1,2.5,0,0,0.5,0,0.5,0,1,0.5,1,1.5
los_angeles,1,0.5,0.5,2,2,6,CA,ca_los_angeles,0,0.5,0.5,1,0,0,0,0,0.5,0,0.5,0.5,1,1.5
san_jose,2,0.5,1.5,0,2,6,CA,ca_san_jose,0.5,0.5,0,1,0.5,0,0.5,0,0.5,0,1.5,0.5,1,1.5
austin,0,0.5,1.5,1,2,5,TX,tx_austin,0,0.5,0.5,1,0.5,0,0,0,0.5,0.5,1.5,0,1,1
denver,0,0.5,1.5,2,1,5,CO,co_denver,0.5,0,0.5,1,0.5,0,0.5,0,0.5,0.5,2,0.5,1,1.5
pittsburgh,2,0.5,1.5,1,0,5,PA,pa_pittsburgh,0,0,0.5,0.5,0.5,0,0.5,0,0,0,1,0.5,0.5,1
washington,2,0,1,1,1,5,DC,dc_washington,0.5,0.5,1,2,0,0,0,0,0.5,0.5,1,0.5,1,1.5
las_vegas,1,0.5,1,2,0,4.5,NV,nv_las_vegas,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1
minneapolis,0,0.5,1,1,2,4.5,MN,mn_minneapolis,0.5,0.5,1,2,0,0,0,0,0.5,0.5,1,0,1,1
oakland,0,0.5,1.5,2,0,4,CA,ca_oakland,0.5,0,0.5,1,0,0,0.5,0.5,0,0,1,0,0.5,0.5
