city,electric_savings_and_partnerships_3_pts,natural_gas_savings_1.5_pts,low_income_programs_1.5_pts,multifamily_programs_1_pt,data_provision_2_pts,total_scores_for_energy_efficiency_efforts_of_energy_utilities,state,location,decarbonize_electric_grid_ious_only_1.5_pts,electric_utility_emissions_per_capita_munis_only_1.5_pts,electric_utility_emission_goal_stringency_1.5_pts,total_scores_for_decarbonization_efforts_of_energy_utilities,joint_water_energy_programs_0.5_pts,water_savings_strategy_0.5_pts,energy_efficiency_programs_1_pt,self_generation_1_pt,total_scores_for_efficiency_efforts_of_water_utilities
boston,3,1.5,1.5,1,2,9,MA,ma_boston,1.5,,1.5,3,0.5,0.5,1,1,3
providence,3,1.5,1.5,1,2,9,RI,ri_providence,1.5,,0.5,2,0,0.5,0.5,1,2
oakland,2.5,1.5,1.5,1,2,8.5,CA,ca_oakland,1.5,,1,2.5,0.5,0.5,1,0.5,2.5
san_francisco,2.5,1.5,1.5,1,2,8.5,CA,ca_san_francisco,1.5,,1,2.5,0.5,0.5,0.5,1,2.5
san_jose,2.5,1.5,1.5,1,2,8.5,CA,ca_san_jose,1.5,,1,2.5,0.5,0.5,1,1,3
washington,3,1.5,1,1,2,8.5,DC,dc_washington,,1.5,1,2.5,0.5,0.5,0.5,1,2.5
bakersfield,2.5,1.5,1.5,1,1.5,8,CA,ca_bakersfield,0,,1,1,0.5,0,0,0,0.5
chicago,2.5,1,1.5,1,2,8,IL,il_chicago,1.5,,1,2.5,0.5,0.5,1,1,3
fresno,2.5,1.5,1.5,1,1.5,8,CA,ca_fresno,0,,1,1,0.5,0,0,0,0.5
minneapolis,2,1.5,1.5,1,2,8,MN,mn_minneapolis,1.5,,1.5,3,0.5,0.5,0.5,1,2.5
denver,2.5,0.5,1.5,1,2,7.5,CO,co_denver,1.5,,1.5,3,0.5,0,1,1,2.5
grand_rapids,2,1.5,1.5,1,1.5,7.5,MI,mi_grand_rapids,1.5,,1,2.5,0.5,0,1,1,2.5
los_angeles,1.5,1.5,1.5,1,2,7.5,CA,ca_los_angeles,,1.5,1.5,3,0.5,0.5,1,1,3
aurora,2.5,0.5,1.5,1,1.5,7,CO,co_aurora,0,,1.5,1.5,0.5,0.5,1,1,3
chula_vista,2,1,1,1,2,7,CA,ca_chula_vista,1.5,,1,2.5,0.5,0.5,1,1,3
